Date;Prix
1995-01-13;465.97
1995-01-20;464.78
1995-01-27;470.39
1995-03-02;478.64
1995-10-02;481.46
1995-02-17;481.97
1995-02-24;488.11
1995-03-03;485.42
1995-10-03;489.57
1995-03-17;495.52
1995-03-24;500.97
1995-03-31;500.71
1995-07-04;506.42
1995-04-14;509.23
1995-04-21;508.49
1995-04-28;514.71
1995-05-05;520.12
1995-12-05;525.55
1995-05-19;519.19
1995-05-26;523.65
1995-02-06;532.51
1995-09-06;527.94
1995-06-16;539.83
1995-06-23;549.71
1995-06-30;544.75
1995-07-07;556.37
1995-07-14;559.89
1995-07-21;553.62
1995-07-28;562.93
1995-04-08;558.94
1995-11-08;555.11
1995-08-18;559.21
1995-08-25;560.1
1995-01-09;563.84
1995-08-09;572.68
1995-09-15;583.35
1995-09-22;581.73
1995-09-29;584.41
1995-06-10;582.49
1995-10-13;584.5
1995-10-20;587.46
1995-10-27;579.7
1995-03-11;590.57
1995-10-11;592.72
1995-11-17;600.07
1995-11-24;599.97
1995-01-12;606.98
1995-08-12;617.48
1995-12-15;616.34
1995-12-22;611.96
1995-12-29;615.93
1996-05-01;616.71
1996-12-01;601.81
1996-01-19;611.83
1996-01-26;621.62
1996-02-02;635.84
1996-09-02;656.37
1996-02-16;647.98
1996-02-23;659.08
1996-01-03;644.37
1996-08-03;633.5
1996-03-15;641.43
1996-03-22;650.62
1996-03-29;645.5
1996-05-04;655.86
1996-12-04;636.71
1996-04-19;645.07
1996-04-26;653.46
1996-03-05;641.63
1996-10-05;652.09
1996-05-17;668.91
1996-05-24;678.51
1996-05-31;669.12
1996-07-06;673.31
1996-06-14;665.85
1996-06-21;666.84
1996-06-28;670.63
1996-05-07;657.44
1996-12-07;646.19
1996-07-19;638.73
1996-07-26;635.9
1996-02-08;662.49
1996-09-08;662.1
1996-08-16;665.21
1996-08-23;667.03
1996-08-30;651.99
1996-06-09;655.68
1996-09-13;680.54
1996-09-20;687.03
1996-09-27;686.19
1996-04-10;701.46
1996-11-10;700.66
1996-10-18;710.82
1996-10-25;700.92
1996-01-11;703.77
1996-08-11;730.82
1996-11-15;737.62
1996-11-22;748.73
1996-11-29;757.02
1996-06-12;739.6
1996-12-13;728.64
1996-12-20;748.87
1996-12-27;756.79
1997-03-01;748.03
1997-10-01;759.5
1997-01-17;776.17
1997-01-24;770.52
1997-01-31;786.16
1997-07-02;789.56
1997-02-14;808.48
1997-02-21;801.77
1997-02-28;790.82
1997-07-03;804.97
1997-03-14;793.17
1997-03-21;784.1
1997-03-28;773.88
1997-04-04;757.9
1997-11-04;737.65
1997-04-18;766.34
1997-04-25;765.37
1997-02-05;812.97
1997-09-05;824.78
1997-05-16;829.75
1997-05-23;847.03
1997-05-30;848.28
1997-06-06;858.01
1997-06-13;893.27
1997-06-20;898.7
1997-06-27;887.3
1997-04-07;916.92
1997-11-07;916.68
1997-07-18;915.3
1997-07-25;938.79
1997-01-08;947.14
1997-08-08;933.54
1997-08-15;900.81
1997-08-22;923.55
1997-08-29;899.47
1997-05-09;929.05
1997-12-09;923.91
1997-09-19;950.51
1997-09-26;945.22
1997-03-10;965.03
1997-10-10;966.98
1997-10-17;944.16
1997-10-24;941.64
1997-10-31;914.62
1997-07-11;927.51
1997-11-14;928.35
1997-11-21;963.09
1997-11-28;955.4
1997-05-12;983.79
1997-12-12;953.39
1997-12-19;946.78
1997-12-26;936.46
1998-02-01;975.04
1998-09-01;927.69
1998-01-16;961.51
1998-01-23;957.59
1998-01-30;980.28
1998-06-02;1012.4
1998-02-13;1020.0
1998-02-20;1034.2
1998-02-27;1049.3
1998-06-03;1055.6
1998-03-13;1068.6
1998-03-20;1099.1
1998-03-27;1095.4
1998-03-04;1122.7
1998-10-04;1110.6
1998-04-17;1122.7
1998-04-24;1107.9
1998-01-05;1121.0
1998-08-05;1108.1
1998-05-15;1108.7
1998-05-22;1110.4
1998-05-29;1090.8
1998-05-06;1113.8
1998-12-06;1098.8
1998-06-19;1100.6
1998-06-26;1133.2
1998-03-07;1146.4
1998-10-07;1164.3
1998-07-17;1186.7
1998-07-24;1140.8
1998-07-31;1120.6
1998-07-08;1089.4
1998-08-14;1062.7
1998-08-21;1081.2
1998-08-28;1027.1
1998-04-09;973.89
1998-11-09;1009.0
1998-09-18;1020.0
1998-09-25;1044.7
1998-02-10;1002.6
1998-09-10;984.39
1998-10-16;1056.4
1998-10-23;1070.6
1998-10-30;1098.6
1998-06-11;1141.0
1998-11-13;1125.7
1998-11-20;1163.5
1998-11-27;1192.3
1998-04-12;1176.7
1998-11-12;1166.4
1998-12-18;1188.0
1998-12-25;1226.2
1999-01-01;1229.2
1999-08-01;1275.0
1999-01-15;1243.2
1999-01-22;1225.1
1999-01-29;1279.6
1999-05-02;1239.4
1999-12-02;1230.1
1999-02-19;1239.2
1999-02-26;1238.3
1999-05-03;1275.4
1999-12-03;1294.5
1999-03-19;1299.2
